Name,R,G,B
Peach_176,253,172,117
Almond_177,183,137,100
Honey_178,187,132,73
Caramel_179,159,103,48
Coffee_180,136,89,60
Ebony_181,88,35,22
Fair_182,254,221,181
Medium_183,207,126,58
Dark_184,101,54,35
Olive_185,197,173,100
Tan_186,219,151,88
Brown_187,129,72,23
Deep Brown_188,88,53,25
Porcelain_189,255,232,203
Peach_190,255,179,113
Almond_191,175,128,101
Honey_192,173,123,77
Caramel_193,162,108,64
Coffee_194,132,87,63
Ebony_195,73,51,30
Fair_196,255,220,163
Medium_197,191,130,67
Dark_198,82,58,49
Olive_199,191,175,109
Tan_200,214,143,103
Brown_201,132,66,26
Deep Brown_202,80,42,26
Porcelain_203,254,234,207
Peach_204,255,178,114
Almond_205,179,125,90
Honey_206,177,132,63
Caramel_207,165,107,65
Coffee_208,129,97,53
Ebony_209,76,44,28
Fair_210,252,211,177
Medium_211,205,130,64
Dark_212,89,50,53
Olive_213,200,169,99
Tan_214,218,138,95
Brown_215,144,64,17
Deep Brown_216,70,48,30
Porcelain_217,247,222,209
Peach_218,247,180,123
Almond_219,187,126,102
Honey_220,175,125,68
Caramel_221,168,98,68
Coffee_222,124,93,60
Ebony_223,89,54,13
Fair_224,255,224,166
Medium_225,194,135,56
Dark_226,95,51,39
Olive_227,201,161,116
Tan_228,219,141,87
Brown_229,138,76,9
Deep Brown_230,85,54,34
Porcelain_231,255,231,199
Peach_232,253,161,121
Almond_233,184,128,97
Honey_234,167,129,71
Caramel_235,170,103,59
Coffee_236,129,90,43
Ebony_237,75,49,26
Fair_238,255,225,164
Medium_239,208,141,70
Dark_240,88,55,42
Olive_241,185,156,108
Tan_242,207,150,89
Brown_243,145,79,9
Deep Brown_244,86,43,16
Porcelain_245,253,229,214
Peach_246,255,164,132
Almond_247,184,132,92
Honey_248,169,121,80
Caramel_249,168,115,60
Coffee_250,139,88,56
Ebony_251,87,36,19
Fair_252,255,224,165
Medium_253,191,126,67
Dark_254,102,48,50
Olive_255,187,171,105
Tan_256,211,139,93
Brown_257,133,65,10
Deep Brown_258,84,44,22
Porcelain_259,251,221,209
Peach_260,255,163,126
Almond_261,189,140,104
Honey_262,173,125,69
Caramel_263,165,110,54
Coffee_264,128,97,48
Ebony_265,74,44,29
Fair_266,245,224,175
Medium_267,207,135,56
Dark_268,84,50,49
Olive_269,198,172,110
Tan_270,200,141,101
Brown_271,137,67,24
Deep Brown_272,81,41,21
Porcelain_273,255,238,215
Peach_274,251,173,121
Almond_275,178,133,110
Honey_276,175,137,80
Caramel_277,167,109,49
Coffee_278,136,99,48
Ebony_279,76,53,30
Fair_280,255,209,171
Medium_281,193,140,64
Dark_282,89,62,43
Olive_283,182,161,99
Tan_284,213,140,87
Brown_285,140,63,19
Deep Brown_286,79,56,35
Porcelain_287,246,234,214
Peach_288,254,170,117
Almond_289,189,137,95
Honey_290,180,137,62
Caramel_291,172,105,49
Coffee_292,142,87,46
Ebony_293,83,35,11
Fair_294,255,217,177
Medium_295,188,136,64
Dark_296,84,48,46
Olive_297,183,175,101
Tan_298,208,149,87
Brown_299,131,71,15
Deep Brown_300,77,46,23
Porcelain_301,249,239,203
Peach_302,248,178,120
Almond_303,174,130,110
Honey_304,180,123,63
Caramel_305,164,117,63
Coffee_306,141,89,61
Ebony_307,85,51,18
Fair_308,255,227,172
Medium_309,194,136,59
Dark_310,99,54,44
Olive_311,189,165,100
Tan_312,207,146,102
Brown_313,145,78,29
Deep Brown_314,77,46,35
Porcelain_315,255,231,204
Peach_316,251,173,121
Almond_317,175,133,101
Honey_318,176,135,62
Caramel_319,163,98,68
Coffee_320,137,85,59
Ebony_321,82,42,26
Fair_322,247,225,166
Medium_323,198,136,66
Dark_324,98,60,50
Olive_325,198,172,101
Tan_326,203,142,106
Brown_327,140,63,24
Deep Brown_328,74,54,34
Porcelain_329,250,222,209
Peach_330,255,169,126
Almond_331,178,127,104
Honey_332,169,121,71
Caramel_333,157,117,58
Coffee_334,143,102,58
Ebony_335,71,44,18
Fair_336,255,221,170
Medium_337,207,133,63
Dark_338,91,46,53
Olive_339,191,165,98
Tan_340,206,143,92
Brown_341,136,62,20
Deep Brown_342,75,56,21
Porcelain_343,250,220,195
Peach_344,249,176,131
Almond_345,176,134,107
Honey_346,185,137,69
Caramel_347,170,113,68
Coffee_348,126,87,62
Ebony_349,76,36,28
Fair_350,255,213,181
Medium_351,196,132,57
Dark_352,94,53,50
Olive_353,185,161,107
Tan_354,207,134,103
Brown_355,147,59,27
Deep Brown_356,75,43,19
Porcelain_357,255,224,207
Peach_358,254,169,131
Almond_359,172,139,110
Honey_360,169,136,62
Caramel_361,152,113,49
Coffee_362,137,100,43
Ebony_363,80,40,24
Fair_364,245,228,180
Medium_365,197,129,61
Dark_366,89,58,40
Olive_367,191,164,101
Tan_368,215,150,93
Brown_369,142,60,23
Deep Brown_370,83,45,20
Porcelain_371,255,230,211
Peach_372,251,178,128
Almond_373,182,127,102
Honey_374,181,129,68
Caramel_375,168,104,55
Coffee_376,138,92,56
Ebony_377,75,44,10
Fair_378,255,224,177
Medium_379,193,132,57
Dark_380,82,47,47
Olive_381,188,166,102
Tan_382,204,154,106
Brown_383,138,63,23
Deep Brown_384,79,40,21
Porcelain_385,255,235,202
Peach_386,253,171,114
Almond_387,185,123,93
Honey_388,170,127,77
Caramel_389,157,108,63
Coffee_390,128,95,57
Ebony_391,86,47,13
Fair_392,248,209,176
Medium_393,202,129,76
Dark_394,87,42,48
Olive_395,202,175,116
Tan_396,200,136,95
Brown_397,144,76,13
Deep Brown_398,69,49,29
Porcelain_399,255,234,205
Peach_400,245,160,132
Almond_401,170,137,93
Honey_402,168,127,76
Caramel_403,159,97,58
Coffee_404,142,98,44
Ebony_405,88,49,26
Fair_406,255,224,181
Medium_407,207,138,70
Dark_408,96,53,48
Olive_409,183,176,103
Tan_410,219,146,95
Brown_411,131,66,18
Deep Brown_412,83,47,27
Porcelain_413,252,220,213
Peach_414,255,179,120
Almond_415,178,133,101
Honey_416,183,122,71
Caramel_417,165,104,57
Coffee_418,143,94,59
Ebony_419,80,43,15
Fair_420,254,212,173
Medium_421,189,137,64
Dark_422,97,51,38
Olive_423,193,156,106
Tan_424,204,146,101
Brown_425,141,60,19
Deep Brown_426,79,42,17
Porcelain_427,255,229,212
Peach_428,249,171,118
Almond_429,189,134,104
Honey_430,182,135,63
Caramel_431,172,105,54
Coffee_432,131,90,58
Ebony_433,80,41,17
Fair_434,255,219,182
Medium_435,190,144,57
Dark_436,102,49,43
Olive_437,187,168,110
Tan_438,200,143,89
Brown_439,149,78,22
Deep Brown_440,84,40,17
Porcelain_441,255,235,211
Peach_442,255,167,116
Almond_443,172,130,102
Honey_444,172,127,79
Caramel_445,171,97,67
Coffee_446,140,103,46
Ebony_447,71,43,22
Fair_448,255,212,176
Medium_449,197,126,67
Dark_450,84,51,35
Olive_451,187,164,118
Tan_452,200,136,99
Brown_453,134,79,28
Deep Brown_454,81,38,26
Porcelain_455,255,236,202
Peach_456,255,165,124
Almond_457,176,135,98
Honey_458,183,134,60
Caramel_459,166,108,50
Coffee_460,134,100,63
Ebony_461,86,48,13
Fair_462,255,213,176
Medium_463,190,141,67
Dark_464,90,56,42
Olive_465,189,156,112
Tan_466,202,154,95
Brown_467,136,69,12
Deep Brown_468,81,40,33
Porcelain_469,255,238,203
Peach_470,254,175,119
Almond_471,172,134,110
Honey_472,179,133,77
Caramel_473,172,110,57
Coffee_474,130,103,44
Ebony_475,76,54,26
Fair_476,255,224,168
Medium_477,196,128,68
Dark_478,95,56,41
Olive_479,195,176,110
Tan_480,216,140,96
Brown_481,146,64,14
Deep Brown_482,76,52,34
Porcelain_483,255,229,199
Peach_484,253,162,115
Almond_485,181,137,101
Honey_486,168,137,65
Caramel_487,154,109,60
Coffee_488,136,93,51
Ebony_489,76,38,23
Fair_490,255,210,174
Medium_491,193,144,69
Dark_492,90,53,40
Olive_493,192,172,112
Tan_494,200,154,96
Brown_495,141,59,15
Deep Brown_496,86,54,16
Porcelain_497,245,232,212
Peach_498,251,172,126
Almond_499,183,133,101
Honey_500,183,132,79
